,person,became_member_on,gender,age,income,total_amt,monthly_freq,txn_times,ave_btwn_time,recency,prop_wks_w_txn,ave_txn_amt,num_offers_received,offer_view_rate,offer_complete_rate
0,0610b486422d4921ae7d2bf64640c50b,2017-07-15,F,55,112000.0,77.01,3.0,"[18, 144, 528]",255.0,186.0,0.4,25.67,2.0,0.0,0.5
1,78afa995795e4d85b5d9ceeca43f5fef,2017-05-09,F,75,100000.0,159.27,7.0,"[132, 144, 222, 240, 378, 510, 534]",67.0,180.0,0.8,22.75,4.0,1.0,0.75
2,e2127556f4f64592b11af22de27a7932,2018-04-26,M,68,70000.0,57.730000000000004,3.0,"[288, 294, 522]",117.0,192.0,0.4,19.24,4.0,0.75,0.5
3,389bc3fa690240e798340f5a15918d5c,2018-02-09,M,65,53000.0,36.43,3.0,"[60, 498, 600]",270.0,114.0,0.6,12.14,6.0,1.0,0.83
4,2eeac8d8feae4a8cad5a6af0499a211d,2017-11-11,M,58,51000.0,15.62,4.0,"[216, 378, 456, 570]",118.0,144.0,0.6,3.9,3.0,0.67,0.33
5,aa4862eba776480b8bb9c68455b8c2e1,2017-09-11,F,61,57000.0,85.55,6.0,"[210, 426, 456, 498, 516, 630]",84.0,84.0,0.6,14.26,5.0,1.0,0.6
6,e12aeaf2d47d42479ea1c4ac3d8286c6,2014-02-13,M,26,46000.0,56.22,11.0,"[36, 90, 198, 360, 378, 450, 456, 498, 510, 528, 654]",61.8,60.0,0.8,5.11,6.0,0.17,0.17
7,31dda685af34476cad5bc968bdb01c53,2016-02-11,F,62,71000.0,160.25,8.0,"[258, 288, 306, 384, 426, 444, 534, 540]",40.29,174.0,0.6,20.03,6.0,0.83,0.67
8,62cf5e10845442329191fc246e7bcea3,2014-11-13,M,49,52000.0,144.10999999999999,9.0,"[48, 318, 420, 432, 444, 486, 504, 528, 684]",79.5,30.0,1.0,16.01,3.0,0.67,0.33
9,6445de3b47274c759400cd68131d91b4,2017-12-31,M,57,42000.0,19.1,6.0,"[42, 420, 516, 528, 552, 576]",106.8,138.0,0.6,3.18,5.0,0.2,0.4
10,a448667f336b42c9a66fc5ffd5d73772,2018-05-01,F,61,40000.0,20.78,7.0,"[66, 216, 222, 420, 492, 516, 546]",80.0,168.0,0.8,2.97,3.0,0.67,0.0
11,440cf1fd7580490c971d8c651ed962af,2016-05-04,F,40,71000.0,300.68,16.0,"[78, 102, 222, 336, 426, 432, 438, 450, 474, 510, 552, 570, 600, 672, 678, 714]",42.4,0.0,1.0,18.79,5.0,0.8,1.0
12,4b0da7e80e5945209a1fdddfe813dbe0,2017-09-09,M,64,100000.0,211.29000000000002,7.0,"[180, 216, 258, 312, 480, 510, 684]",84.0,30.0,0.8,30.18,5.0,0.8,0.6
13,c27e0d6ab72c455a8bb66d980963de60,2017-06-16,F,78,71000.0,155.46,8.0,"[18, 72, 144, 204, 360, 414, 462, 480]",66.0,234.0,0.6,19.43,6.0,1.0,0.17
14,f806632c011441378d4646567f357a21,2013-08-11,M,42,69000.0,91.4,5.0,"[126, 210, 276, 462, 606]",120.0,108.0,0.8,18.28,4.0,1.0,0.75
15,d058f73bf8674a26a95227db098147b1,2018-04-28,F,56,88000.0,75.62,3.0,"[162, 192, 414]",126.0,300.0,0.6,25.21,6.0,1.0,0.67
16,c6c9884912c645429f3333f912b55f44,2017-09-26,F,33,52000.0,17.9,9.0,"[252, 270, 300, 324, 354, 528, 600, 678, 708]",57.0,6.0,0.8,1.99,6.0,0.5,0.17
17,7429a044884842d6862f516c38b1156f,2017-09-11,F,46,59000.0,2.88,1.0,[492],222.0,222.0,0.2,2.88,4.0,0.25,0.0
18,ebe7ef46ea6f4963a7dd49f501b26779,2015-01-21,M,59,41000.0,52.08,13.0,"[60, 282, 300, 324, 330, 402, 408, 426, 432, 468, 474, 480, 546]",40.5,168.0,0.8,4.01,6.0,0.83,0.33
19,5917d13f6fa04286abdf95f4d5cefb1e,2014-08-23,M,67,96000.0,206.88,8.0,"[60, 276, 486, 522, 552, 636, 702, 714]",93.43,0.0,1.0,25.86,4.0,0.75,1.0
20,d1ede868e29245ea91818a903fec04c6,2017-09-16,O,53,52000.0,18.740000000000002,5.0,"[24, 198, 270, 384, 390]",91.5,324.0,0.6,3.75,5.0,0.6,0.2
21,1e9420836d554513ab90eba98552d0a9,2017-09-25,M,22,70000.0,106.38,6.0,"[198, 252, 366, 414, 462, 600]",80.4,114.0,0.6,17.73,6.0,1.0,0.67
22,868317b9be554cb18e50bc68484749a2,2017-11-17,F,96,89000.0,81.92,4.0,"[132, 282, 468, 612]",160.0,102.0,0.8,20.48,5.0,0.4,0.8
23,f082d80f0aac47a99173ba8ef8fc1909,2016-07-09,M,40,33000.0,40.94,14.0,"[12, 30, 72, 96, 120, 138, 174, 204, 372, 390, 444, 456, 462, 624]",47.08,90.0,0.8,2.92,6.0,0.67,0.17
24,102e9454054946fda62242d2e176fdce,2016-08-14,F,69,57000.0,213.49,14.0,"[6, 12, 42, 78, 192, 240, 288, 348, 522, 534, 588, 606, 648, 690]",52.62,24.0,1.0,15.25,6.0,0.83,0.67
25,8dabe2142cdf4013a6f4786edf8ab00f,2014-05-11,M,56,68000.0,167.67000000000002,9.0,"[258, 342, 402, 468, 486, 564, 642, 654, 696]",54.75,18.0,0.8,18.63,3.0,0.67,0.67
26,9f30b375d7bd4c62a884ffe7034e09ee,2017-08-12,F,26,63000.0,73.38,21.0,"[54, 72, 102, 114, 138, 168, 312, 372, 390, 450, 474, 480, 486, 498, 510, 522, 540, 546, 552, 564, 570]",25.8,144.0,0.8,3.49,3.0,1.0,0.67
27,6e014185620b49bd98749f728747572f,2015-11-12,M,75,40000.0,155.53,10.0,"[24, 66, 108, 312, 360, 396, 438, 444, 498, 588]",62.67,126.0,0.8,15.55,4.0,0.75,1.0
28,02c083884c7d45b39cc68e1314fec56c,2016-07-11,F,20,30000.0,29.89,10.0,"[0, 6, 12, 84, 90, 102, 132, 144, 198, 420]",46.67,294.0,0.6,2.99,2.0,0.5,0.0
29,c0d210398dee4a0895b24444a5fcd1d2,2018-07-07,M,45,33000.0,61.25,8.0,"[66, 312, 372, 474, 498, 522, 570, 642]",82.29,72.0,0.8,7.66,5.0,1.0,0.6
30,8b70ca1f5f5a45bdac2ac2f990b71526,2017-11-21,M,61,98000.0,234.43,8.0,"[168, 222, 288, 354, 372, 558, 576, 582]",59.14,132.0,0.6,29.3,5.0,0.8,0.8
31,8e7c7465e98c43d8a01f51e2b5c29542,2013-09-18,F,69,37000.0,32.72,12.0,"[102, 264, 330, 360, 390, 474, 480, 582, 600, 606, 648, 690]",53.45,24.0,1.0,2.73,5.0,0.6,0.2
32,57dd18ec5ddc46828afb81ec5977bef2,2017-02-07,F,54,80000.0,249.4,9.0,"[252, 342, 402, 468, 522, 552, 582, 642, 708]",57.0,6.0,0.8,27.71,6.0,0.67,0.5
33,be8a5d1981a2458d90b255ddc7e0d174,2014-05-27,M,39,51000.0,51.91,14.0,"[6, 24, 30, 60, 180, 216, 222, 228, 282, 390, 396, 420, 462, 558]",42.46,156.0,0.8,3.71,5.0,0.6,0.2
34,3f89b8f80ebc4f94b7074f28071aa8d4,2015-09-21,F,41,41000.0,62.51,18.0,"[114, 198, 204, 252, 312, 366, 378, 414, 450, 456, 468, 618, 624, 654, 672, 690, 708, 714]",35.29,0.0,1.0,3.47,4.0,0.5,0.75
35,a3b9b4bf115e4564933ea2e4bc936843,2015-04-15,F,79,48000.0,152.0,15.0,"[96, 102, 120, 132, 144, 186, 378, 450, 480, 534, 576, 594, 612, 624, 630]",38.14,84.0,0.8,10.13,4.0,0.5,0.5
